"Title","Movie Release Year","Running Time","Genre","Director","Country","Front Cover","Trailer URLs","Format","IMDb Rating","Location","Musician","Writer","Actor","Audience Rating","Audio Tracks","Extras","Features","Movie Release Date","Plot","Producer","Release Date","Release Year","Back Cover","Backdrop","Barcode","Box set","Chapters","Cinematography","Distributor","Edition","Episodes","Extra Features"
"27 Dresses","2008","107 mins","Comedy; Romance","Anne Fletcher","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\27Dresses200818946_f.jpg","http://www.youtube.com/watch?v=VnDH7xb6u9M","DVD","6.0","","Randy Edelman","Aline Brosh McKenna","Katherine Heigl as Jane; James Marsden as Kevin; Malin Akerman as Tess; Edward Burns as George; Melora Hardin as Maureen; Judy Greer as Casey; Alexa Havins as Bride; Krysten Ritter as Gina; Peyton List as Young Jane; Maulik Pancholy as Trent; Brian Kerwin as Hal; Alexa Gerasimovich as Flower Girl; Chuck Slavin as Harry Jones; Kal Thompson as Wedding Guest; Nicole Wilson as Hip Bride","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]","","","2008","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","Roger Birnbaum; Gary Barber","7/28/2008","2008","C:\Users\zerom_000\Documents\Movie Collector\Images\27Dresses200818946_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\27Dresses200818946_d.jpg","5039036038232","","0","Peter James","20th Century Fox Home Entertainment","","0","Interactive menus, Enhanced for WideScreen TV, Subtitles for hard of hearing (English), Bonus footage, Deleted scenes, Other documentaries ('The Wedding Party', 'You'll Never Wear That Again', 'Jane's World', 'The Running of the Brides')"
"28 Weeks Later","2007","113 mins","Horror; Science Fiction; Thriller","Juan Carlos Fresnadillo","UK","C:\Users\zerom_000\Documents\Movie Collector\Images\28WeeksLater200721631_f.jpg","http://www.youtube.com/watch?v=cbpjH4XCG3c","DVD","7.0","","John Murphy","Juan Carlos Fresnadillo; Enrique Lopez Lavigne","Robert Carlyle as Donald Harris; Amanda Walker as Sally; Rose Byrne as Scarlet; Jeremy Renner as Sgt. Doyle; Harold Perrineau as Flynn; Catherine McCormack as Alice; Mackintosh Muggleton as Andy; Idris Elba as General Stone; Imogen Poots as Tammy; Shahid Ahmed as Jacob; Emily Beecham as Karen; Garfield Morgan as Geoff","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Stereo; Dolby Digital Surround [French]; Dolby Digital Surround [Spanish]","","","2007","In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.","Danny Boyle; Alex Garland","10/9/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\28WeeksLater200721631_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\28WeeksLater200721631_d.jpg","024543469964","","0","Enrique Chediak","","","0","Commentary by Director/Co-Writer Juan Carlos Fresnadillo and Producer/Co-Writer Enrique Lopez Levigne Deleted Scenes with Optional Commentary by Juan Carlos Fresnadillo and Enrique Lopez Lavigne Code Red: The Making of 28 Weeks Later Featurette The Infected Featurette Getting Into The Action Featurette 28 Days Later - The Aftermath: Stage 1 'Development' Animated Graphic Novel 28 Days Later - The Aftermath: Stage 3 'Development' Animated Graphic Novel Theatrical Trailer"
"30 Days Of Night","2007","113 mins","Horror; Thriller","David Slade","New Zealand","C:\Users\zerom_000\Documents\Movie Collector\Images\30DaysOfNight200721835_f.jpg","http://www.youtube.com/watch?v=c4-Qg3wlCrQ","DVD","6.6","","Brian Reitzell","Stuart Beattie; Brian Nelson","Manu Bennett as Billy Kitka; Mark Boone Junior as Beau; Megan Franich as Iris; Melissa George as Stella Olemaun; Craig Hall as Wilson Bulosan; Josh Hartnett as Eben; Danny Huston as Marlow; Camille Keenan as Kirsten; Chic Littlewood as Issac Bulosan; Pua Magasiva as Malakai; Rachel Maitland-Smith as Gail Robbins; Tim McLachlan as Archibald; Elizabeth McRae as Helen Munson; John Rawls as Zurial; Mark Rendall as Jake Oleson","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","2007","As the sun sets over the isolated town of a small Alaskan town for winter, the residents prepare for 30 days of total darkness. But dusk heralds the arrival of a pack of blood-hungry vampires . . . with a month to kill.","Sam Raimi; Mike Richardson","2/26/2008","2008","C:\Users\zerom_000\Documents\Movie Collector\Images\30DaysOfNight200721835_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\30DaysOfNight200721835_d.jpg","043396196155","","0","Jo Willems","Sony Pictures","","0","Audio Commentary With Josh Hartnett, Melissa George And Producer Rob Tapert 8 Behind The Scene Featurettes: Pre Production Building Barrow The Look Blood, Guts & The Nasty #@$&! Stunts The Vampire Night Shoots Casting"
"30 Minutes Or Less","2011","83 mins","Comedy; Adventure; Action","Ruben Fleischer","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\30MinutesOrLess20113464_f.jpg","http://www.youtube.com/watch?v=8oLOLTc6Qzc","Blu-ray Disc","6.3","","","Michael Diliberti; Matthew Sullivan","Jesse Eisenberg as Nick; Danny McBride as Dwayne; Bianca Kajlich as Juicy; Nick Swardson as Travis; Aziz Ansari as Chet; Michael Pena as Chango; Fred Ward as The Major; Dilshad Vadsaria as Kate; Elizabeth Wright Shapiro as Young Woman; Amanda Wright as Sexy Dancer; Alex Rush as Major Tan Bikini Girl; Jordan Trovillion as Hot Girl; Richard Goteri; Staci Lynn Fletcher as Register Woman; Torey Adkins as Heavyset Man","R (Restricted)","Dolby Digital 5.1 [English]; DTS 5.1 [French]; DTS [English]; DTS [French]","","","2011","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...","Ben Stiller; Stuart Cornfeld","12/27/2011","2011","C:\Users\zerom_000\Documents\Movie Collector\Images\30MinutesOrLess20113464_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\30MinutesOrLess20113464_d.jpg","043396388123","","0","","Sony Pictures Home Entertainment","","0","* Outtakes * Blowing up with the cast & crew * The perfect crime: Action & Comedy in 30 Minutes or Less. * Picture-in-picture video commentary."
"The 40 Year Old Virgin","2005","116 mins","Comedy; Romance","Judd Apatow","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\The40YearOldVirgin200525643_f.jpg","http://www.youtube.com/watch?v=hysIlCVLejk","DVD","7.4","","Lyle Workman","Judd Apatow; Steve Carell","Steve Carell as Andy Stitzer; Catherine Keener as Trish; Paul Rudd as David; Romany Malco as Jay; Seth Rogen as Cal; Elizabeth Banks as Beth; Leslie Mann as Nicky; Jane Lynch as Paula; Gerry Bednob as Mooj; Shelley Malil as Haziz","UR (Unrated)","Dolby Digital 5.1 [English]; Dolby Digital Stereo [French]; Dolby Digital Stereo [Spanish]","","","2005","Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.","Judd Apatow; Shauna Robertson","12/13/2005","2005","C:\Users\zerom_000\Documents\Movie Collector\Images\The40YearOldVirgin200525643_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\The40YearOldVirgin200525643_d.jpg","025192870620","","0","Jack N. Green","Universal Studios","Unrated","0","Unrated Exclusives Andy's Fantasies - Additional deleted footage that was actually too dirty for the movie. My Dinner With Stormy: Actor/Co-Producer Seth Rogen has dinner with adult-film star Stormy Daniels. Also Includes Side-splitting bonus material that will keep you laughing for hours! Gag Reel - Hilarious on-set moments with cast and crew. You Know How I Know You're Gay? - Never-before-seen extra material of the infamous routine. Line-O-Rama - A raucous montage of alternate jokes from different scenes. Multiple commentary tracks featuring filmmakers and cast"
"47 Ronin","2013","118 mins","Drama; Adventure; Fantasy; Action","Carl Rinsch","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\47Ronin201342048_f.jpg","http://www.youtube.com/watch?v=DEoDulGTElE; http://www.youtube.com/watch?v=j8cKdDkkIYY","Blu-ray Disc","6.6","","Ilan Eshkeri; Atticus Ross","Chris Morgan; Hossein Amini","Yorick van Wageningen as Kapitan; Keanu Reeves as Kai; Hiroyuki Sanada as Ôishi; Kô Shibasaki as Mika; Tadanobu Asano as Lord Kira; Min Tanaka as Lord Asano; Jin Akanishi as Chikara; Masayoshi Haneda as Yasuno; Hiroshi Sogabe as Hazama; Takato Yonemoto as Basho; Hiroshi Yamada as Hara; Shu Nakajima as Horibe; Cary-Hiroyuki Tagawa as Shogun Tsunayoshi; Natsuki Kunimoto as Riku; Masayuki Deai as Isogai","","Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]; Dolby Digital Stereo [English]; DTS [English]","","","2013","From ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born. Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai. Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind. To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors. 47 Ronin is helmed by visionary director Carl Erik Rinsch (The Gift). Inspired by styles as diverse as Miyazaki and Hokusai, Rinsch will bring to life the stunning landscapes and enormous battles that will display the timeless Ronin story to global audiences in a way that’s never been seen before.","Erwin Stoff; Eric McLeod","4/1/2013","2013","","C:\Users\zerom_000\Documents\Movie Collector\Images\47Ronin201342048_d.jpg","025192219740","","0","John Mathieson","","2 Disc Blu-Ray DVD Digital Copy Ultraviolet Combo","0","Exclusive Bonus Content ?Keanu & Kai — Keanu Reeves embodies one of cinema's most richly imagined heroes as Kai, the outcast who leads a small band of rebels against an army and supernatural enemies. Along with Reeves, director Carl Rinsch and other key voices from the filmmaking team reveal how this adventure would not be possible without Reeves' mastery of martial arts and total immersion in the role. ?Steel Fury: The Fights of 47 Ronin — This featurette explores the intense research, choreography and rehearsals that went into creating the film's unique action sequences, including Kai's epic battle against the silver Samurai and the heart-stopping Kirin hunt sequence. ?Myths, Magic & Monsters: The FX of 47 Ronin — The film's creative team reveals the technological magic it used to bring to life the creatures of ancient Japanese folklore, including The Kirin (a giant hybrid beast with the head of a dragon and the body of a deer), the Kitsune witch, the Oni troll and the demonic Tengu Monks. DVD Copy"
"48 Hrs.","1982","96 mins","Comedy; Thriller; Crime","Walter Hill","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\48Hrs198219599_f.jpg","http://www.youtube.com/watch?v=t7YqCfecDFo","DVD","6.9","","James Horner","Walter Hill; Roger Spottiswoode","Nick Nolte as Jack Cates; Eddie Murphy as Reggie Hammond; Annette O'Toole as Elaine; Frank McRae as Haden; James Remar as Albert Ganz; David Patrick Kelly as Luther; Sonny Landham as Billy Bear; Brion James as Ben Kehoe; Kerry Sherman as Rosalie; Jonathan Banks as Algren; Tara King as Frizzy; Greta Blackburn as Lisa; Denise Crosby as Sally; Margot Rose as Casey; James Keane as Vanzant","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Mono [French]; Dolby Digital Surround [English]","","","1982","48 HRS. A film about a white cop who takes a black criminal out of jail to help him find a killer. They end up making a very comical pair.","Joel Silver; Lawrence Gordon","1/26/1999","1999","C:\Users\zerom_000\Documents\Movie Collector\Images\48Hrs198219599_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\48Hrs198219599_d.jpg","097360113976","","0","Ric Waite","Paramount","","0","Interactive Menus Scene Selection Theatrical Trailers Color Subtitled Widescreen"
"50 First Dates / Mr. Deeds","","","","","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\50FirstDatesMrDeeds25897_f.jpg","","DVD","","","","","","","Dolby Digital Stereo [English]","","","","","","10/11/2005","2005","","","043396115859","","0","","","","0",""
"300","2007","117 mins","War; Action; History","Zack Snyder","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\3002007401_f.jpg","http://www.youtube.com/watch?v=Yu0F3P2XYGY","HD-DVD","7.8","","Tyler Bates","Frank Miller; Michael Gordon","Gerard Butler as King Leonidas; Lena Headey as Queen Gorgo; Dominic West as Theron; David Wenham as Dilios; Vincent Regan as Captain; Michael Fassbender as Stelios; Tom Wisdom as Astinos; Andrew Pleavin as Daxos; Andrew Tiernan as Ephialtes; Rodrigo Santoro as Xerxes","R (Restricted)","Dolby Digital 5.1; Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]; Dolby Digital Plus 5.1; Dolby Digital Plus 5.1 [English]; Dolby Digital TrueHD [English]","","","2007","Based on Frank Miller's graphic novel, '300' concerns the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","Frank Miller; Jeffrey Silver","7/31/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\3002007401_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\3002007401_d.jpg","085391137641","","0","Larry Fong","Warner Brothers Home Video","","0","Bluescreen Picture-in-Picture Version: Director Zack Snyder Compares the Pre-CGI-Enhanced Version to the Finished Film Additional Scenes of the Traitorous Hunchback and Never-Before-Seen Giant Warriors Frank Miller's Vision Realized on Film 300 Spartans - Fact Or Fiction?: The Shocking Life of a Spartan Revealed Who Were The Spartans?: How the Actors Built Their Characters Based on Spartan Customs Webisodes: Go on Set with the Cast and Crew Exclusive to HD DVD Game Vengeance And Valor: Lead More Spartan Warriors into Battle Against Xerxes' Forces and Test Your Combat-Hardened Knowledge of Tactics and Strategy Pick Your Favorite Scenes: Assemble Your Favorite Clips and Create Your Own Montage Web-Enabled Features: Cool Mobile Downloads"
"300","2007","117 mins","War; Action; History","Zack Snyder","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\300200727730_f.jpg","http://www.youtube.com/watch?v=Yu0F3P2XYGY","DVD","7.8","","Tyler Bates","Frank Miller; Michael Gordon","Gerard Butler as King Leonidas; Lena Headey as Queen Gorgo; Dominic West as Theron; David Wenham as Dilios; Vincent Regan as Captain; Michael Fassbender as Stelios; Tom Wisdom as Astinos; Andrew Pleavin as Daxos; Andrew Tiernan as Ephialtes; Rodrigo Santoro as Xerxes","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital 5.1 [Spanish]","","","2007","Based on Frank Miller's graphic novel, '300' concerns the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","Frank Miller; Jeffrey Silver","7/31/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\300200727730_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\300200727730_d.jpg","085391162858","","0","Larry Fong","Warner Brothers Home Video","Special Edition","0","Additional Scenes of the Traitorous Hunchback and Never-Before-Seen Giant Warriors Frank Miller's Vision Realized on Film 300 Spartans - Fact Or Fiction?: The Shocking Life of a Spartan Revealed Who Were The Spartans?: How the Actors Built Their Characters Based on Spartan Customs Webisodes: Go on Set with the Cast and Crew Commentary by Director Zack Snyder"
